planner,scenarios,blackout_wins,violations_90s,endurance_violations,joint_violations,total_time_s_mean,total_time_s_std,total_time_s_ci95,flight_distance_m_mean,flight_distance_m_std,flight_distance_m_ci95,max_blackout_s_mean,max_blackout_s_std,max_blackout_s_ci95,wait_time_s_mean,wait_time_s_std,wait_time_s_ci95,service_time_s_mean,service_time_s_std,service_time_s_ci95,protocol_switches_mean,protocol_switches_std,protocol_switches_ci95,radio_obstacle_hits_mean,radio_obstacle_hits_std,radio_obstacle_hits_ci95,runtime_ms_mean,runtime_ms_std,runtime_ms_ci95
am_ppo,50,0,40,9,40,1245.353,290.011,80.387,3395.048,547.972,151.89,136.371,51.178,14.186,316.005,148.024,41.03,644.107,203.92,56.524,7.5,2.013,0.558,1.96,1.47,0.407,1375.529,43.575,12.078
am_ppo_plus_ls,50,6,19,6,19,1260.957,256.439,71.081,3780.72,726.571,201.395,83.384,23.945,6.637,298.8,128.416,35.595,645.466,200.65,55.617,9.16,2.113,0.586,1.96,1.47,0.407,1383.648,36.361,10.079
bounded_blackout,50,23,1,2,2,1084.915,216.487,60.007,3310.109,490.915,136.075,63.808,13.434,3.724,162.735,74.474,20.643,644.482,199.431,55.279,9.6,1.927,0.534,1.96,1.47,0.407,1836.873,358.637,99.409
distance_only,50,0,47,26,47,1563.68,379.819,105.28,2628.822,297.095,82.351,162.352,48.743,13.511,710.256,230.638,63.93,632.352,198.39,54.991,9.82,1.612,0.447,1.96,1.47,0.407,0.024,0.002,0.001
ga_blackout,50,17,0,2,2,1169.402,219.305,60.788,3707.645,673.562,186.702,65.712,9.735,2.698,214.513,83.852,23.243,644.862,199.131,55.196,9.22,1.92,0.532,1.96,1.47,0.407,1204.039,155.884,43.209
genetic_algorithm,50,2,21,3,22,1150.509,220.96,61.247,3383.969,542.767,150.447,86.257,17.796,4.933,227.746,68.095,18.875,638.586,195.887,54.297,9.42,2.051,0.569,1.96,1.47,0.407,687.514,29.129,8.074
neural_q_blackout,50,2,15,7,16,1294.08,248.503,68.882,3843.198,573.629,159.002,85.616,22.968,6.366,323.429,136.199,37.752,648.27,201.364,55.815,9.24,1.756,0.487,1.96,1.47,0.407,2176.358,54.656,15.15
ordinary_collection,50,0,48,27,48,1544.249,332.783,92.243,2437.102,230.537,63.902,169.963,41.979,11.636,705.017,198.048,54.896,634.39,197.918,54.86,9.74,1.549,0.429,1.96,1.47,0.407,14.364,4.412,1.223
particle_swarm,50,1,21,3,23,1142.694,226.11,62.674,3376.829,513.383,142.303,88.548,16.006,4.437,219.62,60.945,16.893,639.235,196.203,54.385,9.02,1.732,0.48,1.96,1.47,0.407,236.445,31.257,8.664
protocol_aware,50,2,22,2,23,1133.389,215.226,59.658,3434.478,551.792,152.949,89.236,22.985,6.371,207.119,58.0,16.077,637.605,196.558,54.483,9.1,2.053,0.569,1.96,1.47,0.407,301.231,87.19,24.168
pso_blackout,50,21,0,2,2,1165.364,211.3,58.569,3704.628,674.789,187.042,64.526,9.725,2.696,209.98,78.076,21.642,645.372,200.984,55.71,9.36,1.638,0.454,1.96,1.47,0.407,737.227,156.769,43.454
q_learning_blackout,50,1,33,13,34,1382.194,235.184,65.19,3818.111,708.364,196.348,111.82,34.063,9.442,420.803,151.281,41.933,641.236,192.602,53.387,8.82,1.453,0.403,1.96,1.47,0.407,43.228,10.427,2.89
