planner,total_time_s,flight_distance_m,max_blackout_s,meets_90s_budget,mission_feasible,protocol_switches,runtime_ms,route
distance_only,2126.934,2906.071,203.015,0,0,13,0.037,N01 -> N02 -> N03 -> N04 -> N05 -> N06 -> N07 -> N08 -> N13 -> N12 -> N09 -> N10 -> N11 -> N14
ordinary_collection,1609.248,2926.059,114.121,0,0,13,8.266,N14 -> N11 -> N10 -> N09 -> N12 -> N13 -> N08 -> N07 -> N06 -> N05 -> N04 -> N03 -> N02 -> N01
protocol_aware,1371.245,3147.929,87.981,1,1,12,318.33,N02 -> N12 -> N13 -> N06 -> N07 -> N08 -> N10 -> N05 -> N09 -> N11 -> N04 -> N01 -> N03 -> N14
bounded_blackout,1357.891,3023.825,56.461,1,1,13,1932.921,N03 -> N11 -> N10 -> N12 -> N07 -> N09 -> N13 -> N06 -> N08 -> N05 -> N14 -> N01 -> N02 -> N04
genetic_algorithm,1321.11,3940.767,77.88,1,1,11,664.651,N09 -> N12 -> N14 -> N10 -> N05 -> N06 -> N04 -> N13 -> N11 -> N08 -> N02 -> N07 -> N03 -> N01
particle_swarm,1465.245,3233.412,94.78,0,1,12,233.555,N14 -> N11 -> N10 -> N09 -> N13 -> N07 -> N06 -> N12 -> N08 -> N05 -> N03 -> N04 -> N02 -> N01
ga_blackout,1436.189,4304.916,65.369,1,1,13,1200.326,N08 -> N01 -> N03 -> N14 -> N11 -> N04 -> N12 -> N05 -> N02 -> N10 -> N06 -> N13 -> N07 -> N09
pso_blackout,1429.469,5147.696,58.649,1,1,11,770.996,N08 -> N06 -> N04 -> N02 -> N13 -> N14 -> N12 -> N05 -> N11 -> N03 -> N10 -> N01 -> N07 -> N09
q_learning_plus_ls,1669.221,4187.468,141.889,0,0,10,52.05,N02 -> N13 -> N10 -> N12 -> N03 -> N01 -> N11 -> N05 -> N04 -> N06 -> N09 -> N07 -> N14 -> N08
neural_q_plus_ls,1675.055,3976.978,143.889,0,0,8,2659.005,N01 -> N13 -> N05 -> N02 -> N03 -> N04 -> N11 -> N10 -> N12 -> N06 -> N07 -> N09 -> N14 -> N08
am_ppo,1428.585,3450.108,101.889,0,1,12,1295.577,N01 -> N04 -> N02 -> N07 -> N05 -> N11 -> N10 -> N13 -> N12 -> N08 -> N06 -> N14 -> N03 -> N09
am_ppo_plus_ls,1431.133,3468.248,60.313,1,1,12,1329.495,N01 -> N14 -> N02 -> N03 -> N11 -> N07 -> N10 -> N13 -> N12 -> N04 -> N06 -> N08 -> N05 -> N09
