search_mode,node_count,planner,scenarios,violations_90s,endurance_violations,total_time_s_mean,total_time_s_std,flight_distance_m_mean,flight_distance_m_std,max_blackout_s_mean,max_blackout_s_std,runtime_ms_mean,runtime_ms_std
seed_only,25,distance_only,3,3,3,2574.722,406.147,3061.394,368.921,192.274,30.905,0.067,0.018
seed_only,25,protocol_aware,3,2,3,1872.699,341.89,3857.253,436.576,112.277,36.644,3.197,0.502
seed_only,25,bounded_blackout,3,2,2,1771.445,412.126,3934.659,544.063,100.586,28.128,19.301,1.446
seed_only,50,distance_only,3,3,3,5563.246,854.28,3872.573,633.716,213.772,6.534,0.205,0.007
seed_only,50,protocol_aware,3,3,3,3995.029,492.387,6091.183,598.421,137.34,10.592,9.356,0.245
seed_only,50,bounded_blackout,3,3,3,3511.045,861.168,5816.772,385.155,119.54,6.48,61.613,2.494
seed_only,100,distance_only,3,3,3,10045.678,506.952,4960.081,241.807,222.318,6.668,0.786,0.044
seed_only,100,protocol_aware,3,3,3,7184.288,486.514,8557.452,797.688,142.928,16.788,31.417,1.378
seed_only,100,bounded_blackout,3,2,3,6500.571,999.461,8306.622,696.745,110.428,17.833,202.206,0.542
seed_only,200,distance_only,3,3,3,20074.694,257.733,6240.87,323.404,227.663,1.689,3.109,0.112
seed_only,200,protocol_aware,3,3,3,14004.233,389.694,11661.641,756.626,135.338,11.043,119.177,3.538
seed_only,200,bounded_blackout,3,3,3,13987.545,361.796,11662.625,757.733,127.05,8.867,740.531,17.872
capped_6_passes,25,distance_only,3,3,3,2574.722,406.147,3061.394,368.921,192.274,30.905,0.059,0.002
capped_6_passes,25,protocol_aware,3,2,3,1832.531,281.482,4435.367,954.342,115.9,25.602,426.399,155.422
capped_6_passes,25,bounded_blackout,3,0,1,1636.299,322.246,4012.718,543.735,67.66,19.049,3007.72,90.332
capped_6_passes,50,distance_only,3,3,3,5563.246,854.28,3872.573,633.716,213.772,6.534,0.208,0.007
capped_6_passes,50,protocol_aware,3,3,3,3983.631,478.727,6846.739,637.667,133.504,18.577,8352.892,2096.826
capped_6_passes,50,bounded_blackout,3,1,3,3500.62,819.098,6232.796,762.982,85.179,37.268,44866.113,9259.605
